# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7884180312188895,5.062143791550553,-0.016401926833574356,0,3.0,-0.04700515178115473,180.0,0.0,0.06907887543549816
 0.08961046376858753,1.8004630835505806,5.062140343441912,-0.016401926833574356,0.26883139130576256,2.9999999999999996,-0.04700515178115473,-179.9938098099356,-0.8716784330772842,0.4971237442368994
 0.1269645288391948,1.8125980136694846,5.062129973418079,-0.04896265974338821,0.38089358651758437,3.000000000000001,-0.04623492249482313,-179.97524021724524,-1.1194268630679711,1.0736717076909286
 0.15578717801648456,1.824822481261348,5.062112642932193,-0.08122750749723033,0.46736153404945363,2.9999999999999982,-0.04549016250017315,-179.9442941542829,-1.308887157062429,1.773024679876498
 0.18021867464706612,1.8371361460119173,5.062088313437391,-0.11320557966481255,0.5406560239411984,3.0000000000000036,-0.044769821799720555,-179.90097650779055,-1.4648473844084215,2.5730584742049327
 0.2018592204107746,1.8495386676069387,5.062056946386809,-0.14490567652395164,0.6055776612323238,3.0000000000000013,-0.044072903263799194,-179.84529411812682,-1.5980162242889977,3.4592493140194254
 0.22152774781774356,1.8620297057321589,5.062018503233586,-0.1763363024281609,0.6645832434532307,2.9999999999999987,-0.043398458724217374,-179.7772557781865,-1.7143029212047471,4.421062115656645
 0.2397097014007184,1.8746089200733238,5.061972945430858,-0.20750567856866375,0.7191291042021553,3.0000000000000013,-0.04274558797085689,-179.69687223201217,-1.8174176532793445,5.450361802361115
 0.25672069301496775,1.88727597031618,5.0619202344317635,-0.2384217550281874,0.7701620790449034,3.0000000000000067,-0.04211343427407553,-179.60415617309758,-1.9098882622488587,6.540593919004835
 0.2727794687186594,1.9000305161464741,5.06186033168944,-0.26909222225075524,0.8183384061559782,2.999999999999993,-0.04150118279347194,-179.49912224238335,-1.9935376832101874,7.6863128312400875
 0.2880449437279301,1.9128722172499522,5.061793198657024,-0.29952452193383977,0.8641348311837903,2.9999999999999964,-0.04090805794919157,-179.38178702594462,-2.0697366794345053,8.882887799713968
 0.30263681705728457,1.9258007333123608,5.061718796787653,-0.32972585738526683,0.9079104511718538,3.000000000000004,-0.04033332105791093,-179.25216905237232,-2.1395496085460652,10.126308729911042
 0.31664787146116957,1.9388157240194466,5.061637087534464,-0.3597032033504166,0.9499436143835088,3.000000000000004,-0.03977626837878802,-179.110288789847,-2.2038241334736433,11.413051761102988
 0.3301517221547554,1.9519168490569554,5.061548032350595,-0.3894633154037659,0.9904551664642663,3.0,-0.03923622970750878,-178.9561686429069,-2.263249314742192,12.73998277738351
 0.3432079167276721,1.965103768110634,5.061451592689185,-0.41901273882406026,1.0296237501830166,3.000000000000013,-0.0387125657917637,-178.78983294890978,-2.318394826576747,14.104286024342015
 0.3558654149102578,1.9783761408662288,5.061347730003368,-0.44835781712797157,1.0675962447307739,3.0000000000000133,-0.03820466692508439,-178.61130797419,-2.3697383291704877,15.50340995659634
 0.3681650357558162,1.9917336270094859,5.061236405746283,-0.47750470007995566,1.1044951072674491,3.0000000000000044,-0.037711951140183955,-178.4206219099106,-2.4176851578731484,16.93502527453543
 0.38014122350937013,2.005175886226152,5.061117581371067,-0.5064593514596251,1.140423670528111,3.0000000000000093,-0.03723386369025884,-178.2178048676116,-2.4625828074043654,18.396991808979237
 0.3918233504238164,2.018702578201973,5.060991218330858,-0.5352275563530563,1.1754700512714498,3.0,-0.03676987383532131,-178.00288887445507,-2.5047318396255007,19.887331972682333
 0.4032366966986728,2.0323133626226966,5.060857278078793,-0.5638149281643602,1.209710090096019,2.999999999999995,-0.03631947520380623,-177.77590786816782,-2.5443942385134517,21.404209180963548
 0.41440320018708565,2.0460078991740676,5.060715722068009,-0.5922269153046182,1.2432096005612574,2.9999999999999902,-0.035882184205509406,-177.53689769168187,-2.5817999119128014,22.945910096916496
 0.42534203866186493,2.059785847541833,5.060566511751645,-0.6204688075152318,1.2760261159855952,3.0,-0.035457537764564555,-177.2858960874749,-2.6171518434738728,24.51082986533039
 0.4360700881530419,2.0736468674117394,5.0604096085828365,-0.6485457420179445,1.308210264459126,2.9999999999999947,-0.035045093644204356,-177.0229426916098,-2.6506301942622192,26.097459713335272
 0.44660228811245994,2.087590618469533,5.060244974014721,-0.6764627092423853,1.3398068643373802,2.9999999999999947,-0.03464442871190957,-176.7480790274761,-2.6823956466273544,27.704376448435298
 0.456951935532862,2.10161676040096,5.060072569500437,-0.7042245584269998,1.3708558065985865,3.000000000000016,-0.03425513785281303,-176.4613484992327,-2.712592122681631,29.330233494062984
 0.46713092419789487,2.115724952891767,5.059892356493121,-0.7318360028966335,1.401392772593685,2.999999999999989,-0.0338768336482509,-176.16279638495388,-2.7413490375133533,30.97375318350413
 0.4771499410614932,2.1299148556277006,5.0597042964459105,-0.759301625132489,1.43144982318448,3.0000000000000053,-0.03350914463066672,-175.85246982947942,-2.7687831734916273,32.63372009312613
 0.4870186287744043,2.144186128294507,5.059508350811943,-0.7866258816164408,1.4610558863232133,2.999999999999983,-0.033151715318143905,-175.5304178369698,-2.795000254341435,34.308975240910826
 0.4967457212176638,2.1585384305779325,5.0593044810443555,-0.8138131074693538,1.4902371636529916,2.9999999999999942,-0.03280420525526078,-175.19669126316796,-2.8200962736474984,35.998411011047686
